#,Group,PN,SN,Born_on_Aircraft,1_Date_of_First_Installation,2_Hours_at_First_Install,2_Cycles_at_First_Install,3_Overhaul_History,4_Repair_History,5_Modification_Status_SBs,6_Last_Parts_Certificate,7_TSN_at_Last_Shop_Visit,8_Accrued_Since_Last_Overhaul,9_Current_Part_Total_Time,10_Remaining_to_Overhaul_or_Scrap,11_Part_Identity,n_Form1s_found_in_dossier,n_install_events_in_dossier,evidence_source_files
12,B,1756-3,0905200213796,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,"9123/2020 (, easa_form_one)",Unknown (read from cert / techlog at shop visit date),N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 1756-3 | SN: 0905200213796 | Desc: MAIN NICAD BATTERY (Saft) | Pos: Unknown | Cat: Unknown,2,0,"CL650-6134_bo1_bi2_MO77897_6134-20-01_13-Mar-2020.pdf, CL650-6134_bo2_bi8_CL65HBJTZ017MX_6134-21-15_10-Sep-2021.pdf"
13,B,601R59041-3,09052000A3208,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,"PN: 601R59041-3 | SN: 09052000A3208 | Desc: BATTERY, MAIN, MODEL 1756-3 | Pos: Unknown | Cat: LLP",0,0,"190225_HB-JTZ_CALENDAR.pdf, CALENDAR.pdf"
14,B,228-50162-565,NSN,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 228-50162-565 | SN: NSN | Desc: BRACKET | Pos: Unknown | Cat: Unknown,1,0,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf
15,B,601R92386-3,SN1854,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,NoneH / N/AC remaining of 20000H limit,PN: 601R92386-3 | SN: SN1854 | Desc: DISCARD OF THE L/H LOWER HORIZONTAL-STABILIZER TRIM-ACTUATOR (HSTA) TRUNNION SUPPORT; PART NO. 601R92386-1/-3 | Pos: Unknown | Cat: LLP,0,0,Annex 1 – Life Limited & Overhaul Components Status Report.pdf
16,B,601R92386-3,SN1841,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,NoneH / N/AC remaining of 20000H limit,PN: 601R92386-3 | SN: SN1841 | Desc: DISCARD OF THE R/H UPPER HORIZONTAL-STABILIZER TRIM-ACTUATOR (HSTA) TRUNNION SUPPORT; PART NO. 601R92386-1/-3 | Pos: Unknown | Cat: LLP,0,0,Annex 1 – Life Limited & Overhaul Components Status Report.pdf
17,B,228-56334-103,2114592501,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 228-56334-103 | SN: 2114592501 | Desc: DUCT ASSY | Pos: Unknown | Cat: Unknown,2,0,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf
18,B,625692-2,089C-1231,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,"1912020040102FFF
DLV-0034760 (, tcca_form_one)",Unknown (read from cert / techlog at shop visit date),N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 625692-2 | SN: 089C-1231 | Desc: FAN SENSOR | Pos: Unknown | Cat: Unknown,1,0,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf
19,B,40962-1,SO2011084,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 40962-1 | SN: SO2011084 | Desc: LABEL (Bombardier batch) | Pos: Unknown | Cat: Unknown,2,0,"CL650-6134_bo1_bi5_182684 2of 2_6134-21-01_02-Mar-2021.pdf, CL650-6134_bo2_bi8_CL65HBJTZ017MX_6134-21-15_10-Sep-2021.pdf, CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf"
20,B,600-59199-9,DT6325N,No,6134-20-05,182:50,Unknown,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 600-59199-9 | SN: DT6325N | Desc: LATERAL ACCELEROMETER | Pos: Unknown | Cat: Unknown,0,1,CL650-6134_bo1_bi2_2020-02-19-2866_6134-20-05_06-Mar-2020.pdf
21,B,A3372-1,NSN,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: A3372-1 | SN: NSN | Desc: STAY BRACE | Pos: Unknown | Cat: Unknown,1,0,CL650-6134_bo2_bi9_CL65HBJTZ018MX_35666_23-Dec-2021.pdf
